transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,year,month,month_name,day,day_name,quarter,is_weekend,age_group,month_name
36,6/24/2023,CUST036,Male,52,Beauty,3,300,900,2023,6,June,24,Saturday,2,TRUE,Middle Age,June
37,5/23/2023,CUST037,Female,18,Beauty,3,25,75,2023,5,May,23,Tuesday,2,FALSE,Teen,May
38,3/21/2023,CUST038,Male,38,Beauty,4,50,200,2023,3,March,21,Tuesday,1,FALSE,Middle Age,March
39,4/21/2023,CUST039,Male,23,Clothing,4,30,120,2023,4,April,21,Friday,2,FALSE,Young Adult,April
40,6/22/2023,CUST040,Male,45,Beauty,1,50,50,2023,6,June,22,Thursday,2,FALSE,Middle Age,June
41,2/22/2023,CUST041,Male,34,Clothing,2,25,50,2023,2,February,22,Wednesday,1,FALSE,Adult,February
42,2/17/2023,CUST042,Male,22,Clothing,3,300,900,2023,2,February,17,Friday,1,FALSE,Young Adult,February
43,7/14/2023,CUST043,Female,48,Clothing,1,300,300,2023,7,July,14,Friday,3,FALSE,Middle Age,July
44,2/19/2023,CUST044,Female,22,Clothing,1,25,25,2023,2,February,19,Sunday,1,TRUE,Young Adult,February
45,7/3/2023,CUST045,Female,55,Electronics,1,30,30,2023,7,July,3,Monday,3,FALSE,Middle Age,July
46,6/26/2023,CUST046,Female,20,Electronics,4,300,1200,2023,6,June,26,Monday,2,FALSE,Young Adult,June
47,11/6/2023,CUST047,Female,40,Beauty,3,500,1500,2023,11,November,6,Monday,4,FALSE,Middle Age,November
48,5/16/2023,CUST048,Male,54,Electronics,3,300,900,2023,5,May,16,Tuesday,2,FALSE,Middle Age,May
49,1/23/2023,CUST049,Female,54,Electronics,2,500,1000,2023,1,January,23,Monday,1,FALSE,Middle Age,January
50,8/24/2023,CUST050,Female,27,Beauty,3,25,75,2023,8,August,24,Thursday,3,FALSE,Adult,August
51,10/2/2023,CUST051,Male,27,Beauty,3,25,75,2023,10,October,2,Monday,4,FALSE,Adult,October
52,3/5/2023,CUST052,Female,36,Beauty,1,300,300,2023,3,March,5,Sunday,1,TRUE,Middle Age,March
53,7/13/2023,CUST053,Male,34,Electronics,2,50,100,2023,7,July,13,Thursday,3,FALSE,Adult,July
54,2/10/2023,CUST054,Female,38,Electronics,3,500,1500,2023,2,February,10,Friday,1,FALSE,Middle Age,February
55,10/10/2023,CUST055,Male,31,Beauty,4,30,120,2023,10,October,10,Tuesday,4,FALSE,Adult,October
56,5/31/2023,CUST056,Female,26,Clothing,3,300,900,2023,5,May,31,Wednesday,2,FALSE,Adult,May
57,11/18/2023,CUST057,Female,63,Beauty,1,30,30,2023,11,November,18,Saturday,4,TRUE,Senior,November
58,11/13/2023,CUST058,Male,18,Clothing,4,300,1200,2023,11,November,13,Monday,4,FALSE,Teen,November
59,7/5/2023,CUST059,Male,62,Clothing,1,50,50,2023,7,July,5,Wednesday,3,FALSE,Senior,July
60,10/23/2023,CUST060,Male,30,Beauty,3,50,150,2023,10,October,23,Monday,4,FALSE,Adult,October
61,4/9/2023,CUST061,Male,21,Beauty,4,50,200,2023,4,April,9,Sunday,2,TRUE,Young Adult,April
62,12/27/2023,CUST062,Male,18,Beauty,2,50,100,2023,12,December,27,Wednesday,4,FALSE,Teen,December
63,2/5/2023,CUST063,Male,57,Electronics,2,25,50,2023,2,February,5,Sunday,1,TRUE,Middle Age,February
64,1/24/2023,CUST064,Male,49,Clothing,4,25,100,2023,1,January,24,Tuesday,1,FALSE,Middle Age,January
65,12/5/2023,CUST065,Male,51,Electronics,4,500,2000,2023,12,December,5,Tuesday,4,FALSE,Middle Age,December
66,4/27/2023,CUST066,Female,45,Electronics,1,30,30,2023,4,April,27,Thursday,2,FALSE,Middle Age,April
67,5/29/2023,CUST067,Female,48,Beauty,4,300,1200,2023,5,May,29,Monday,2,FALSE,Middle Age,May
68,2/10/2023,CUST068,Male,25,Electronics,1,300,300,2023,2,February,10,Friday,1,FALSE,Young Adult,February
69,4/30/2023,CUST069,Female,56,Beauty,3,25,75,2023,4,April,30,Sunday,2,TRUE,Middle Age,April
70,2/21/2023,CUST070,Female,43,Clothing,1,300,300,2023,2,February,21,Tuesday,1,FALSE,Middle Age,February
71,7/14/2023,CUST071,Female,51,Beauty,4,25,100,2023,7,July,14,Friday,3,FALSE,Middle Age,July
72,5/23/2023,CUST072,Female,20,Electronics,4,500,2000,2023,5,May,23,Tuesday,2,FALSE,Young Adult,May
73,8/21/2023,CUST073,Male,29,Electronics,3,30,90,2023,8,August,21,Monday,3,FALSE,Adult,August
74,11/22/2023,CUST074,Female,18,Beauty,4,500,2000,2023,11,November,22,Wednesday,4,FALSE,Teen,November
75,7/6/2023,CUST075,Male,61,Beauty,4,50,200,2023,7,July,6,Thursday,3,FALSE,Senior,July
76,3/25/2023,CUST076,Female,22,Electronics,2,50,100,2023,3,March,25,Saturday,1,TRUE,Young Adult,March
77,7/9/2023,CUST077,Female,47,Clothing,2,50,100,2023,7,July,9,Sunday,3,TRUE,Middle Age,July
78,7/1/2023,CUST078,Female,47,Clothing,3,500,1500,2023,7,July,1,Saturday,3,TRUE,Middle Age,July
79,4/18/2023,CUST079,Male,34,Beauty,1,300,300,2023,4,April,18,Tuesday,2,FALSE,Adult,April
80,12/10/2023,CUST080,Female,64,Clothing,2,30,60,2023,12,December,10,Sunday,4,TRUE,Senior,December
81,5/17/2023,CUST081,Male,40,Electronics,1,50,50,2023,5,May,17,Wednesday,2,FALSE,Middle Age,May
82,12/26/2023,CUST082,Female,32,Beauty,4,50,200,2023,12,December,26,Tuesday,4,FALSE,Adult,December
83,12/16/2023,CUST083,Male,54,Electronics,2,50,100,2023,12,December,16,Saturday,4,TRUE,Middle Age,December
84,11/28/2023,CUST084,Female,38,Electronics,3,30,90,2023,11,November,28,Tuesday,4,FALSE,Middle Age,November
85,2/6/2023,CUST085,Male,31,Clothing,3,50,150,2023,2,February,6,Monday,1,FALSE,Adult,February
86,11/8/2023,CUST086,Male,19,Beauty,3,30,90,2023,11,November,8,Wednesday,4,FALSE,Young Adult,November
87,11/22/2023,CUST087,Female,28,Beauty,2,50,100,2023,11,November,22,Wednesday,4,FALSE,Adult,November
88,3/29/2023,CUST088,Male,56,Clothing,1,500,500,2023,3,March,29,Wednesday,1,FALSE,Middle Age,March
89,10/1/2023,CUST089,Female,55,Electronics,4,500,2000,2023,10,October,1,Sunday,4,TRUE,Middle Age,October
90,5/6/2023,CUST090,Female,51,Electronics,1,30,30,2023,5,May,6,Saturday,2,TRUE,Middle Age,May
91,3/25/2023,CUST091,Female,55,Electronics,1,500,500,2023,3,March,25,Saturday,1,TRUE,Middle Age,March
92,8/25/2023,CUST092,Female,51,Electronics,4,30,120,2023,8,August,25,Friday,3,FALSE,Middle Age,August
93,7/14/2023,CUST093,Female,35,Beauty,4,500,2000,2023,7,July,14,Friday,3,FALSE,Adult,July
94,5/19/2023,CUST094,Female,47,Beauty,2,500,1000,2023,5,May,19,Friday,2,FALSE,Middle Age,May
95,11/24/2023,CUST095,Female,32,Clothing,2,30,60,2023,11,November,24,Friday,4,FALSE,Adult,November
96,12/19/2023,CUST096,Female,44,Clothing,2,300,600,2023,12,December,19,Tuesday,4,FALSE,Middle Age,December
97,10/13/2023,CUST097,Female,51,Beauty,2,500,1000,2023,10,October,13,Friday,4,FALSE,Middle Age,October
98,4/23/2023,CUST098,Female,55,Beauty,2,50,100,2023,4,April,23,Sunday,2,TRUE,Middle Age,April
99,12/17/2023,CUST099,Female,50,Electronics,4,300,1200,2023,12,December,17,Sunday,4,TRUE,Middle Age,December
100,6/16/2023,CUST100,Male,41,Electronics,1,30,30,2023,6,June,16,Friday,2,FALSE,Middle Age,June
101,1/29/2023,CUST101,Male,32,Clothing,2,300,600,2023,1,January,29,Sunday,1,TRUE,Adult,January
102,4/28/2023,CUST102,Female,47,Beauty,2,25,50,2023,4,April,28,Friday,2,FALSE,Middle Age,April
103,1/17/2023,CUST103,Female,59,Clothing,1,25,25,2023,1,January,17,Tuesday,1,FALSE,Senior,January
104,6/11/2023,CUST104,Female,34,Beauty,2,500,1000,2023,6,June,11,Sunday,2,TRUE,Adult,June
105,7/25/2023,CUST105,Female,22,Electronics,1,500,500,2023,7,July,25,Tuesday,3,FALSE,Young Adult,July
106,5/18/2023,CUST106,Female,46,Clothing,1,50,50,2023,5,May,18,Thursday,2,FALSE,Middle Age,May
107,2/3/2023,CUST107,Female,21,Clothing,4,300,1200,2023,2,February,3,Friday,1,FALSE,Young Adult,February
108,4/19/2023,CUST108,Female,27,Beauty,3,25,75,2023,4,April,19,Wednesday,2,FALSE,Adult,April
109,10/18/2023,CUST109,Female,34,Electronics,4,500,2000,2023,10,October,18,Wednesday,4,FALSE,Adult,October
110,6/11/2023,CUST110,Male,27,Clothing,3,300,900,2023,6,June,11,Sunday,2,TRUE,Adult,June
111,4/19/2023,CUST111,Female,34,Electronics,3,500,1500,2023,4,April,19,Wednesday,2,FALSE,Adult,April
112,12/2/2023,CUST112,Male,37,Clothing,3,500,1500,2023,12,December,2,Saturday,4,TRUE,Middle Age,December
113,9/13/2023,CUST113,Female,41,Electronics,2,25,50,2023,9,September,13,Wednesday,3,FALSE,Middle Age,September
114,7/22/2023,CUST114,Female,22,Beauty,4,25,100,2023,7,July,22,Saturday,3,TRUE,Young Adult,July
115,11/26/2023,CUST115,Male,51,Clothing,3,500,1500,2023,11,November,26,Sunday,4,TRUE,Middle Age,November
116,8/23/2023,CUST116,Female,23,Clothing,1,30,30,2023,8,August,23,Wednesday,3,FALSE,Young Adult,August
117,3/15/2023,CUST117,Male,19,Electronics,2,500,1000,2023,3,March,15,Wednesday,1,FALSE,Young Adult,March
118,5/16/2023,CUST118,Female,30,Electronics,4,500,2000,2023,5,May,16,Tuesday,2,FALSE,Adult,May
119,3/13/2023,CUST119,Female,60,Clothing,3,50,150,2023,3,March,13,Monday,1,FALSE,Senior,March
120,5/7/2023,CUST120,Male,60,Beauty,1,50,50,2023,5,May,7,Sunday,2,TRUE,Senior,May
121,10/15/2023,CUST121,Female,28,Electronics,4,50,200,2023,10,October,15,Sunday,4,TRUE,Adult,October
122,10/3/2023,CUST122,Male,64,Electronics,4,30,120,2023,10,October,3,Tuesday,4,FALSE,Senior,October
123,5/15/2023,CUST123,Female,40,Electronics,2,30,60,2023,5,May,15,Monday,2,FALSE,Middle Age,May
124,10/27/2023,CUST124,Male,33,Clothing,4,500,2000,2023,10,October,27,Friday,4,FALSE,Adult,October
125,8/8/2023,CUST125,Male,48,Clothing,2,50,100,2023,8,August,8,Tuesday,3,FALSE,Middle Age,August
126,10/26/2023,CUST126,Female,28,Clothing,3,30,90,2023,10,October,26,Thursday,4,FALSE,Adult,October
127,7/24/2023,CUST127,Female,33,Clothing,2,25,50,2023,7,July,24,Monday,3,FALSE,Adult,July
128,7/5/2023,CUST128,Male,25,Beauty,1,500,500,2023,7,July,5,Wednesday,3,FALSE,Young Adult,July
129,4/23/2023,CUST129,Female,21,Beauty,2,300,600,2023,4,April,23,Sunday,2,TRUE,Young Adult,April
130,3/12/2023,CUST130,Female,57,Clothing,1,500,500,2023,3,March,12,Sunday,1,TRUE,Middle Age,March
131,9/18/2023,CUST131,Female,21,Beauty,2,300,600,2023,9,September,18,Monday,3,FALSE,Young Adult,September
132,9/10/2023,CUST132,Male,42,Electronics,4,50,200,2023,9,September,10,Sunday,3,TRUE,Middle Age,September
133,2/16/2023,CUST133,Male,20,Electronics,3,300,900,2023,2,February,16,Thursday,1,FALSE,Young Adult,February
134,1/25/2023,CUST134,Male,49,Electronics,1,50,50,2023,1,January,25,Wednesday,1,FALSE,Middle Age,January
135,2/26/2023,CUST135,Male,20,Clothing,2,25,50,2023,2,February,26,Sunday,1,TRUE,Young Adult,February
136,3/20/2023,CUST136,Male,44,Electronics,2,300,600,2023,3,March,20,Monday,1,FALSE,Middle Age,March
137,11/18/2023,CUST137,Male,46,Beauty,2,500,1000,2023,11,November,18,Saturday,4,TRUE,Middle Age,November
138,3/23/2023,CUST138,Male,49,Clothing,4,50,200,2023,3,March,23,Thursday,1,FALSE,Middle Age,March
139,12/15/2023,CUST139,Male,36,Beauty,4,500,2000,2023,12,December,15,Friday,4,FALSE,Middle Age,December
140,8/5/2023,CUST140,Male,38,Electronics,1,30,30,2023,8,August,5,Saturday,3,TRUE,Middle Age,August
141,11/2/2023,CUST141,Female,22,Electronics,1,50,50,2023,11,November,2,Thursday,4,FALSE,Young Adult,November
142,2/2/2023,CUST142,Male,35,Electronics,4,300,1200,2023,2,February,2,Thursday,1,FALSE,Adult,February
143,7/17/2023,CUST143,Female,45,Clothing,1,50,50,2023,7,July,17,Monday,3,FALSE,Middle Age,July
144,7/15/2023,CUST144,Female,59,Beauty,3,500,1500,2023,7,July,15,Saturday,3,TRUE,Senior,July
145,11/2/2023,CUST145,Female,39,Clothing,3,25,75,2023,11,November,2,Thursday,4,FALSE,Middle Age,November
146,8/28/2023,CUST146,Male,38,Clothing,4,50,200,2023,8,August,28,Monday,3,FALSE,Middle Age,August
147,9/28/2023,CUST147,Male,23,Electronics,1,300,300,2023,9,September,28,Thursday,3,FALSE,Young Adult,September
148,5/9/2023,CUST148,Male,18,Clothing,2,30,60,2023,5,May,9,Tuesday,2,FALSE,Teen,May
149,10/11/2023,CUST149,Male,22,Clothing,3,25,75,2023,10,October,11,Wednesday,4,FALSE,Young Adult,October
150,1/6/2023,CUST150,Female,58,Electronics,4,30,120,2023,1,January,6,Friday,1,FALSE,Middle Age,January
151,12/15/2023,CUST151,Male,29,Clothing,1,50,50,2023,12,December,15,Friday,4,FALSE,Adult,December
152,2/28/2023,CUST152,Male,43,Electronics,4,500,2000,2023,2,February,28,Tuesday,1,FALSE,Middle Age,February
153,12/16/2023,CUST153,Male,63,Electronics,2,500,1000,2023,12,December,16,Saturday,4,TRUE,Senior,December
154,10/2/2023,CUST154,Male,51,Electronics,3,300,900,2023,10,October,2,Monday,4,FALSE,Middle Age,October
155,5/17/2023,CUST155,Male,31,Electronics,4,500,2000,2023,5,May,17,Wednesday,2,FALSE,Adult,May
156,11/25/2023,CUST156,Female,43,Clothing,4,25,100,2023,11,November,25,Saturday,4,TRUE,Middle Age,November
157,6/24/2023,CUST157,Male,62,Electronics,4,500,2000,2023,6,June,24,Saturday,2,TRUE,Senior,June
158,2/27/2023,CUST158,Female,44,Electronics,2,300,600,2023,2,February,27,Monday,1,FALSE,Middle Age,February
159,5/31/2023,CUST159,Male,26,Clothing,4,50,200,2023,5,May,31,Wednesday,2,FALSE,Adult,May
160,8/11/2023,CUST160,Female,43,Clothing,2,50,100,2023,8,August,11,Friday,3,FALSE,Middle Age,August
161,3/22/2023,CUST161,Male,64,Beauty,2,500,1000,2023,3,March,22,Wednesday,1,FALSE,Senior,March
162,8/21/2023,CUST162,Male,39,Clothing,2,30,60,2023,8,August,21,Monday,3,FALSE,Middle Age,August
163,1/2/2023,CUST163,Female,64,Clothing,3,50,150,2023,1,January,2,Monday,1,FALSE,Senior,January
164,5/15/2023,CUST164,Female,47,Beauty,3,500,1500,2023,5,May,15,Monday,2,FALSE,Middle Age,May
165,9/14/2023,CUST165,Female,60,Clothing,4,300,1200,2023,9,September,14,Thursday,3,FALSE,Senior,September
166,4/2/2023,CUST166,Male,34,Clothing,4,500,2000,2023,4,April,2,Sunday,2,TRUE,Adult,April
167,9/17/2023,CUST167,Female,43,Clothing,3,50,150,2023,9,September,17,Sunday,3,TRUE,Middle Age,September
168,2/24/2023,CUST168,Male,53,Clothing,1,300,300,2023,2,February,24,Friday,1,FALSE,Middle Age,February
169,11/17/2023,CUST169,Male,18,Beauty,3,500,1500,2023,11,November,17,Friday,4,FALSE,Teen,November
170,6/2/2023,CUST170,Female,25,Clothing,2,25,50,2023,6,June,2,Friday,2,FALSE,Young Adult,June
171,11/24/2023,CUST171,Female,52,Clothing,3,300,900,2023,11,November,24,Friday,4,FALSE,Middle Age,November
172,9/17/2023,CUST172,Male,32,Beauty,2,25,50,2023,9,September,17,Sunday,3,TRUE,Adult,September
173,11/8/2023,CUST173,Male,64,Electronics,4,30,120,2023,11,November,8,Wednesday,4,FALSE,Senior,November
174,4/12/2023,CUST174,Female,39,Beauty,1,300,300,2023,4,April,12,Wednesday,2,FALSE,Middle Age,April
175,3/20/2023,CUST175,Female,31,Electronics,4,25,100,2023,3,March,20,Monday,1,FALSE,Adult,March
176,7/11/2023,CUST176,Female,43,Beauty,2,50,100,2023,7,July,11,Tuesday,3,FALSE,Middle Age,July
177,3/24/2023,CUST177,Male,45,Beauty,2,50,100,2023,3,March,24,Friday,1,FALSE,Middle Age,March
178,10/4/2023,CUST178,Male,40,Clothing,2,30,60,2023,10,October,4,Wednesday,4,FALSE,Middle Age,October
179,9/29/2023,CUST179,Male,31,Electronics,1,300,300,2023,9,September,29,Friday,3,FALSE,Adult,September
180,1/1/2023,CUST180,Male,41,Clothing,3,300,900,2023,1,January,1,Sunday,1,TRUE,Middle Age,January
181,11/3/2023,CUST181,Male,19,Electronics,4,300,1200,2023,11,November,3,Friday,4,FALSE,Young Adult,November
182,6/15/2023,CUST182,Male,62,Beauty,4,30,120,2023,6,June,15,Thursday,2,FALSE,Senior,June
183,9/8/2023,CUST183,Female,43,Beauty,3,300,900,2023,9,September,8,Friday,3,FALSE,Middle Age,September
184,1/10/2023,CUST184,Male,31,Electronics,4,50,200,2023,1,January,10,Tuesday,1,FALSE,Adult,January
185,2/27/2023,CUST185,Male,24,Clothing,1,25,25,2023,2,February,27,Monday,1,FALSE,Young Adult,February
186,7/5/2023,CUST186,Male,20,Clothing,4,50,200,2023,7,July,5,Wednesday,3,FALSE,Young Adult,July
187,6/7/2023,CUST187,Female,64,Clothing,2,50,100,2023,6,June,7,Wednesday,2,FALSE,Senior,June
188,5/3/2023,CUST188,Male,40,Clothing,3,25,75,2023,5,May,3,Wednesday,2,FALSE,Middle Age,May
189,1/30/2023,CUST189,Male,63,Beauty,1,50,50,2023,1,January,30,Monday,1,FALSE,Senior,January
190,5/4/2023,CUST190,Female,60,Beauty,3,30,90,2023,5,May,4,Thursday,2,FALSE,Senior,May
191,10/18/2023,CUST191,Male,64,Beauty,1,25,25,2023,10,October,18,Wednesday,4,FALSE,Senior,October
192,2/10/2023,CUST192,Male,62,Beauty,2,50,100,2023,2,February,10,Friday,1,FALSE,Senior,February
193,2/13/2023,CUST193,Male,35,Beauty,3,500,1500,2023,2,February,13,Monday,1,FALSE,Adult,February
194,9/6/2023,CUST194,Male,55,Clothing,4,50,200,2023,9,September,6,Wednesday,3,FALSE,Middle Age,September
195,2/5/2023,CUST195,Male,52,Clothing,1,30,30,2023,2,February,5,Sunday,1,TRUE,Middle Age,February
196,9/30/2023,CUST196,Female,32,Clothing,3,300,900,2023,9,September,30,Saturday,3,TRUE,Adult,September
197,3/6/2023,CUST197,Female,42,Clothing,4,50,200,2023,3,March,6,Monday,1,FALSE,Middle Age,March
198,3/7/2023,CUST198,Female,54,Beauty,3,300,900,2023,3,March,7,Tuesday,1,FALSE,Middle Age,March
199,12/4/2023,CUST199,Male,45,Beauty,3,500,1500,2023,12,December,4,Monday,4,FALSE,Middle Age,December
200,9/1/2023,CUST200,Male,27,Beauty,3,50,150,2023,9,September,1,Friday,3,FALSE,Adult,September
201,10/9/2023,CUST201,Male,56,Electronics,1,25,25,2023,10,October,9,Monday,4,FALSE,Middle Age,October
202,3/26/2023,CUST202,Female,34,Clothing,4,300,1200,2023,3,March,26,Sunday,1,TRUE,Adult,March
203,5/16/2023,CUST203,Male,56,Clothing,2,500,1000,2023,5,May,16,Tuesday,2,FALSE,Middle Age,May
204,9/28/2023,CUST204,Male,39,Beauty,1,25,25,2023,9,September,28,Thursday,3,FALSE,Middle Age,September
205,11/7/2023,CUST205,Female,43,Clothing,1,25,25,2023,11,November,7,Tuesday,4,FALSE,Middle Age,November
206,8/5/2023,CUST206,Male,61,Clothing,1,25,25,2023,8,August,5,Saturday,3,TRUE,Senior,August
207,4/19/2023,CUST207,Female,42,Beauty,2,25,50,2023,4,April,19,Wednesday,2,FALSE,Middle Age,April
208,10/4/2023,CUST208,Female,34,Electronics,4,50,200,2023,10,October,4,Wednesday,4,FALSE,Adult,October
209,12/20/2023,CUST209,Female,30,Electronics,4,50,200,2023,12,December,20,Wednesday,4,FALSE,Adult,December
210,4/13/2023,CUST210,Male,37,Electronics,4,50,200,2023,4,April,13,Thursday,2,FALSE,Middle Age,April
211,1/1/2024,CUST211,Male,42,Beauty,3,500,1500,2024,1,January,1,Monday,1,FALSE,Middle Age,January
212,6/9/2023,CUST212,Male,21,Clothing,3,500,1500,2023,6,June,9,Friday,2,FALSE,Young Adult,June
213,7/24/2023,CUST213,Male,27,Beauty,3,500,1500,2023,7,July,24,Monday,3,FALSE,Adult,July
214,12/10/2023,CUST214,Male,20,Beauty,2,30,60,2023,12,December,10,Sunday,4,TRUE,Young Adult,December
215,11/29/2023,CUST215,Male,58,Clothing,3,500,1500,2023,11,November,29,Wednesday,4,FALSE,Middle Age,November
216,7/11/2023,CUST216,Male,62,Electronics,2,50,100,2023,7,July,11,Tuesday,3,FALSE,Senior,July
217,8/13/2023,CUST217,Female,35,Electronics,4,50,200,2023,8,August,13,Sunday,3,TRUE,Adult,August
218,9/22/2023,CUST218,Male,64,Beauty,3,30,90,2023,9,September,22,Friday,3,FALSE,Senior,September
219,8/20/2023,CUST219,Female,53,Electronics,3,30,90,2023,8,August,20,Sunday,3,TRUE,Middle Age,August
220,3/3/2023,CUST220,Male,64,Beauty,1,500,500,2023,3,March,3,Friday,1,FALSE,Senior,March
221,5/7/2023,CUST221,Male,39,Beauty,2,300,600,2023,5,May,7,Sunday,2,TRUE,Middle Age,May
222,4/26/2023,CUST222,Male,51,Clothing,4,30,120,2023,4,April,26,Wednesday,2,FALSE,Middle Age,April
223,2/2/2023,CUST223,Female,64,Clothing,1,25,25,2023,2,February,2,Thursday,1,FALSE,Senior,February
224,6/23/2023,CUST224,Female,25,Clothing,1,50,50,2023,6,June,23,Friday,2,FALSE,Young Adult,June
225,1/11/2023,CUST225,Female,57,Beauty,4,25,100,2023,1,January,11,Wednesday,1,FALSE,Middle Age,January
226,10/29/2023,CUST226,Female,61,Clothing,1,50,50,2023,10,October,29,Sunday,4,TRUE,Senior,October
227,10/11/2023,CUST227,Male,36,Electronics,2,50,100,2023,10,October,11,Wednesday,4,FALSE,Middle Age,October
228,4/28/2023,CUST228,Female,59,Electronics,2,30,60,2023,4,April,28,Friday,2,FALSE,Senior,April
229,10/29/2023,CUST229,Male,58,Beauty,3,30,90,2023,10,October,29,Sunday,4,TRUE,Middle Age,October
230,4/23/2023,CUST230,Male,54,Beauty,1,25,25,2023,4,April,23,Sunday,2,TRUE,Middle Age,April
231,1/4/2023,CUST231,Female,23,Clothing,3,50,150,2023,1,January,4,Wednesday,1,FALSE,Young Adult,January
232,2/6/2023,CUST232,Female,43,Beauty,1,25,25,2023,2,February,6,Monday,1,FALSE,Middle Age,February
233,12/29/2023,CUST233,Female,51,Beauty,2,300,600,2023,12,December,29,Friday,4,FALSE,Middle Age,December
234,11/20/2023,CUST234,Female,62,Electronics,2,25,50,2023,11,November,20,Monday,4,FALSE,Senior,November
235,1/31/2023,CUST235,Female,23,Electronics,2,500,1000,2023,1,January,31,Tuesday,1,FALSE,Young Adult,January
236,4/28/2023,CUST236,Female,54,Clothing,1,25,25,2023,4,April,28,Friday,2,FALSE,Middle Age,April
237,2/4/2023,CUST237,Female,50,Beauty,2,500,1000,2023,2,February,4,Saturday,1,TRUE,Middle Age,February
